"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","1","01test_pytest测试用例参数化","test_pytest_01","","","","test_add[case0]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","4","01test_pytest测试用例参数化","test_pytest_03","TestRegister","","","test_register[case1]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","0","02test_pytest测试固件","test_pytest01","TestFixture","","","test_case02[3]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","0","01test_pytest测试用例参数化","test_pytest_01","","","","test_add[case3]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","0","02test_pytest测试固件","test_pytest01","TestFixture","","","test_case02[4]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","0","01test_pytest测试用例参数化","test_pytest_01","","","","test_add[case4]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","3","01test_pytest测试用例参数化","test_pytest_03","TestRegister","","","test_register[case5]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","0","02test_pytest测试固件","test_pytest04","TestFixture02","","","test_case04",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","4","01test_pytest测试用例参数化","test_pytest_02","TestLogin","","","test_login[case2]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","1","02test_pytest测试固件","test_pytest02","TestFixture","","","test_case02",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","0","01test_pytest测试用例参数化","test_pytest_01","","","","test_add[case5]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","1","02test_pytest测试固件","test_pytest03","","","","test_case03",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","1","02test_pytest测试固件","test_pytest01","TestFixture","","","test_case02[2]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","0","02test_pytest测试固件","test_pytest04","TestFixture","","","test_case02",""
"failed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","6","01test_pytest测试用例参数化","test_pytest_03","TestRegister","","","test_register[case0]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","0","01test_pytest测试用例参数化","test_pytest_01","","","","test_add[case2]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","0","02test_pytest测试固件","test_pytest02","TestFixture","","","test_case01",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","3","01test_pytest测试用例参数化","test_pytest_03","TestRegister","","","test_register[case3]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","6","01test_pytest测试用例参数化","test_pytest_02","TestLogin","","","test_login[case1]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","4","01test_pytest测试用例参数化","test_pytest_03","TestRegister","","","test_register[case4]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","9","01test_pytest测试用例参数化","test_pytest_02","TestLogin","","","test_login[case0]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","1","02test_pytest测试固件","test_pytest03","TestFixture","","","test_case02",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","0","02test_pytest测试固件","test_pytest01","TestFixture","","","test_case01",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","1","02test_pytest测试固件","test_pytest04","TestFixture02","","","test_case03",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","1","01test_pytest测试用例参数化","test_pytest_01","","","","test_add[case1]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","3","01test_pytest测试用例参数化","test_pytest_02","TestLogin","","","test_login[case4]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","0","02test_pytest测试固件","test_pytest01","TestFixture","","","test_case02[1]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","4","01test_pytest测试用例参数化","test_pytest_03","TestRegister","","","test_register[case2]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","5","01test_pytest测试用例参数化","test_pytest_02","TestLogin","","","test_login[case3]",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","1","02test_pytest测试固件","test_pytest04","TestFixture","","","test_case01",""
"passed","Fri Feb 25 19:33:20 CST 2022","Fri Feb 25 19:33:20 CST 2022","0","02test_pytest测试固件","test_pytest03","TestFixture","","","test_case01",""
